200 200
0 167 1
187 54 2
5 146 1
12 80 2
75 137 1
172 92 2
150 154 1
16 10 2
122 122 1
30 0 2
62 77 1
180 134 2
50 113 1
39 139 2
76 78 1
87 198 2
17 115 1
198 128 2
135 155 1
134 162 2
102 189 1
181 88 2
101 86 1
108 187 2
151 1 1
7 61 2
18 136 1
102 122 2
132 48 1
28 119 2
3 183 1
87 113 2
174 110 1
74 96 2
43 167 1
102 14 2
123 195 1
46 150 2
72 43 1
83 107 2
85 41 1
96 199 2
119 20 1
195 129 2
94 118 1
190 129 2
191 172 1
185 199 2
85 116 1
94 120 2
188 113 1
119 144 2
187 151 1
66 91 2
3 103 1
126 126 2
34 180 1
16 114 2
15 1 1
8 158 2
9 146 1
97 82 2
33 114 1
37 122 2
5 62 1
197 193 2
184 58 1
102 164 2
127 42 1
3 44 2
102 188 1
29 199 2
31 186 1
185 176 2
33 22 1
133 70 2
198 42 1
95 176 2
94 87 1
119 28 2
156 37 1
20 76 2
1 135 1
105 157 2
54 99 1
74 55 2
13 62 1
179 105 2
79 182 1
81 85 2
102 150 1
153 76 2
39 193 1
38 22 2
0 95 1
35 106 2
98 141 1
186 88 2
23 124 1
188 97 2
83 121 1
7 141 2
32 165 1
186 140 2
50 20 1
57 187 2
136 85 1
33 84 2
32 94 1
54 19 2
183 43 1
72 189 2
152 186 1
43 146 2
148 83 1
136 125 2
124 28 1
142 194 2
172 117 1
167 44 2
33 108 1
58 113 2
171 97 1
108 44 2
180 187 1
69 148 2
12 22 1
73 43 2
52 56 1
146 28 2
28 69 1
116 77 2
181 128 1
84 52 2
79 189 1
131 80 2
60 42 1
83 114 2
84 58 1
184 76 2
33 38 1
123 12 2
181 163 1
174 40 2
25 53 1
61 65 2
60 13 1
112 123 2
186 85 1
18 17 2
99 11 1
107 124 2
186 60 1
47 16 2
161 148 1
181 145 2
138 106 1
136 137 2
165 145 1
95 18 2
16 189 1
63 170 2
9 118 1
13 132 2
37 89 1
45 13 2
59 94 1
87 154 2
163 185 1
183 98 2
52 130 1
80 166 2
100 129 1
171 95 2
161 85 1
32 22 2
56 176 1
157 18 2
161 98 1
158 142 2
127 145 1
118 88 2
124 102 1
102 37 2
69 75 1
154 153 2
115 145 1
34 103 2
38 69 1
155 146 2
189 143 1
3 58 2
145 74 1
133 69 2
71 136 1
154 73 2
114 193 1
193 80 2
131 167 1
91 65 2
184 177 1
130 88 2
112 162 1
125 100 2
52 194 1
115 106 2
145 31 1
177 86 2
87 31 1
173 90 2
191 59 1
163 193 2
124 112 1
195 12 2
163 119 1
144 81 2
160 189 1
116 179 2
151 71 1
181 74 2
155 6 1
76 63 2
109 168 1
44 74 2
181 75 1
101 144 2
136 155 1
39 27 2
1 170 1
33 131 2
188 172 1
5 51 2
27 178 1
134 182 2
82 28 1
28 150 2
199 151 1
107 94 2
35 96 1
159 151 2
93 16 1
2 51 2
112 119 1
7 127 2
67 9 1
138 55 2
16 93 1
65 141 2
50 81 1
143 58 2
141 173 1
171 160 2
110 126 1
1 79 2
172 15 1
25 95 2
140 27 1
